Triple,Model Score,SUBJECT_CUI,SUBJECT_NAME,PREDICATE,OBJECT_CUI,OBJECT_NAME,PMID_List,PubMed_URLs,PMID_Details
"[3854, 9, 3647]",[0.04160863161087036],C0032950,prednisolone,TREATS,C0031157,Peritonsillar Abscess,"['28473273', '20403229', '17124937', '16910396', '15285862', '8114457']","['28473273: https://pubmed.ncbi.nlm.nih.gov/28473273', '20403229: https://pubmed.ncbi.nlm.nih.gov/20403229', '17124937: https://pubmed.ncbi.nlm.nih.gov/17124937', '16910396: https://pubmed.ncbi.nlm.nih.gov/16910396', '15285862: https://pubmed.ncbi.nlm.nih.gov/15285862', '8114457: https://pubmed.ncbi.nlm.nih.gov/8114457']","{'28473273': {'Title': 'Is corticosteroid a treatment choice for the management of peritonsillar abscess?', 'Authors': 'Koçak HE, Acıpayam H, Elbistanlı MS, Yiğider AP, Alakhras WME, Kıral MN, Kayhan FT', 'Source': 'Auris Nasus Larynx', 'PubDate': '2018 Apr', 'DOI': '10.1016/j.anl.2017.04.008', 'Volume': '45', 'Issue': '2', 'Pages': '291-294', 'URL': '28473273: https://pubmed.ncbi.nlm.nih.gov/28473273'}, '20403229': {'Title': 'Immediate tonsillectomy: indications for use as first-line surgical management of peritonsillar abscess (quinsy) and parapharyngeal abscess.', 'Authors': 'Page C, Chassery G, Boute P, Obongo R, Strunski V', 'Source': 'J Laryngol Otol', 'PubDate': '2010 Oct', 'DOI': '10.1017/S0022215110000903', 'Volume': '124', 'Issue': '10', 'Pages': '1085-90', 'URL': '20403229: https://pubmed.ncbi.nlm.nih.gov/20403229'}, '17124937': {'Title': 'An outpatient medical treatment protocol for peritonsillar abscess.', 'Authors': 'Lamkin RH, Portt J', 'Source': 'Ear Nose Throat J', 'PubDate': '2006 Oct', 'DOI': 'No DOI available', 'Volume': '85', 'Issue': '10', 'Pages': '658, 660', 'URL': '17124937: https://pubmed.ncbi.nlm.nih.gov/17124937'}, '16910396': {'Title': '[Peritonsillar infection. Out-patient management].', 'Authors': 'Palomar Asenjo V, Borràs Perera M, Ruiz Giner A, Palomar García V', 'Source': 'An Otorrinolaringol Ibero Am', 'PubDate': '2006', 'DOI': 'No DOI available', 'Volume': '33', 'Issue': '4', 'Pages': '399-407', 'URL': '16910396: https://pubmed.ncbi.nlm.nih.gov/16910396'}, '15285862': {'Title': 'Use of steroids in the treatment of peritonsillar abscess.', 'Authors': 'Ozbek C, Aygenc E, Tuna EU, Selcuk A, Ozdem C', 'Source': 'J Laryngol Otol', 'PubDate': '2004 Jun', 'DOI': '10.1258/002221504323219563', 'Volume': '118', 'Issue': '6', 'Pages': '439-42', 'URL': '15285862: https://pubmed.ncbi.nlm.nih.gov/15285862'}, '8114457': {'Title': '[Croup syndrome].', 'Authors': 'Lindemann H', 'Source': 'Kinderarztl Prax', 'PubDate': '1993 Nov', 'DOI': 'No DOI available', 'Volume': '61', 'Issue': '9', 'Pages': '309-15', 'URL': '8114457: https://pubmed.ncbi.nlm.nih.gov/8114457'}}"
"[1969, 9, 8901]",[0.0364111065864563],C0016875,Fusidic Acid,TREATS,C0339901,Acute respiratory infections,"['15530310', '3748717', '766793']","['15530310: https://pubmed.ncbi.nlm.nih.gov/15530310', '3748717: https://pubmed.ncbi.nlm.nih.gov/3748717', '766793: https://pubmed.ncbi.nlm.nih.gov/766793']","{'15530310': {'Title': 'Facial cellulitis associated with Pseudomonas aeruginosa complicating ophthalmic herpes zoster.', 'Authors': 'Atzori L, Ferreli C, Zucca M, Fanni D, Aste N', 'Source': 'Dermatol Online J', 'PubDate': '2004 Oct 15', 'DOI': 'No DOI available', 'Volume': '10', 'Issue': '2', 'Pages': '20', 'URL': '15530310: https://pubmed.ncbi.nlm.nih.gov/15530310'}, '3748717': {'Title': '[Fucidin in the surgical treatment of acute suppurative destruction of the lungs in children].', 'Authors': 'Matveeva ES, Levin AB, Gagaeva EV, Firsov AA', 'Source': 'Pediatriia', 'PubDate': '1986 Jun', 'DOI': 'No DOI available', 'Volume': '', 'Issue': '6', 'Pages': '55-7', 'URL': '3748717: https://pubmed.ncbi.nlm.nih.gov/3748717'}, '766793': {'Title': 'Antibiotics in the peri-operative period.', 'Authors': 'Darrell JH, Uttley AH', 'Source': 'Br J Anaesth', 'PubDate': '1976 Jan', 'DOI': '10.1093/bja/48.1.13', 'Volume': '48', 'Issue': '1', 'Pages': '13-9', 'URL': '766793: https://pubmed.ncbi.nlm.nih.gov/766793'}}"
"[12254, 9, 1799]",[0.01889282464981079],C1166065,"betaine, anhydrous",TREATS,C0015456,Facial Dermatoses,,,
"[13576, 9, 476]",[0.011157900094985962],C1832049,elotuzumab,TREATS,C0004153,Atherosclerosis,,,
"[1751, 9, 4471]",[-0.025131046772003174],C0014987,ethchlorvynol,TREATS,C0038395,Streptococcal Infections,,,
"[14362, 9, 10033]",[-0.09309151768684387],C3160091,Hepatitis C Virus NS3/4A Protease Inhibitor [EPC],TREATS,C0563269,Acute infective exacerbation of chronic obstructive airways disease,,,
"[321, 9, 7969]",[-0.11206415295600891],C0003015,Angiotensin-Converting Enzyme Inhibitors,TREATS,C0239981,Hypoalbuminemia,"['37815154', '37646924', '37453935', '34925975', '28977667', '28690311', '25884528', '24824389', '24266319', '24094140']","['37815154: https://pubmed.ncbi.nlm.nih.gov/37815154', '37646924: https://pubmed.ncbi.nlm.nih.gov/37646924', '37453935: https://pubmed.ncbi.nlm.nih.gov/37453935', '34925975: https://pubmed.ncbi.nlm.nih.gov/34925975', '28977667: https://pubmed.ncbi.nlm.nih.gov/28977667', '28690311: https://pubmed.ncbi.nlm.nih.gov/28690311', '25884528: https://pubmed.ncbi.nlm.nih.gov/25884528', '24824389: https://pubmed.ncbi.nlm.nih.gov/24824389', '24266319: https://pubmed.ncbi.nlm.nih.gov/24266319', '24094140: https://pubmed.ncbi.nlm.nih.gov/24094140']","{'37815154': {'Title': 'Response and survival of dogs with proteinuria (UPC\u2009>\u20092.0) treated with angiotensin converting enzyme inhibitors.', 'Authors': 'Fulton EA, McBrearty AR, Shaw DJ, Ridyard AE', 'Source': 'J Vet Intern Med', 'PubDate': '2023 Nov-Dec', 'DOI': '10.1111/jvim.16864', 'Volume': '37', 'Issue': '6', 'Pages': '2188-2199', 'URL': '37815154: https://pubmed.ncbi.nlm.nih.gov/37815154'}, '37646924': {'Title': 'A comprehensive analysis of intraoperative factors associated with acute-on-chronic kidney injury in elderly trauma patients: blood loss as a key predictor.', 'Authors': 'Lisitano L, Röttinger T, Thorne T, Förch S, Cifuentes J, Rau K, Vounatsos PD, Mayr E', 'Source': 'Aging Clin Exp Res', 'PubDate': '2023 Nov', 'DOI': '10.1007/s40520-023-02540-6', 'Volume': '35', 'Issue': '11', 'Pages': '2729-2737', 'URL': '37646924: https://pubmed.ncbi.nlm.nih.gov/37646924'}, '37453935': {'Title': 'Chapter 3: Management of kidney injury caused by cancer drug therapy, from clinical practice guidelines for the management of kidney injury during anticancer drug therapy 2022.', 'Authors': 'Ando Y, Nishiyama H, Shimodaira H, Takano N, Sakaida E, Matsumoto K, Nakanishi K, Sakai H, Tsukamoto S, Komine K, Yasuda Y, Kato T, Fujiwara Y, Koyama T, Kitamura H, Kuwabara T, Yonezawa A, Okumura Y, Yakushijin K, Nozawa K, Goto H, Matsubara T, Hoshino J, Yanagita M, Committee of Clinical Practice Guidelines for the Management of Kidney Disease During Anticancer Drug Therapy 2022', 'Source': 'Int J Clin Oncol', 'PubDate': '2023 Oct', 'DOI': '10.1007/s10147-023-02382-2', 'Volume': '28', 'Issue': '10', 'Pages': '1315-1332', 'URL': '37453935: https://pubmed.ncbi.nlm.nih.gov/37453935'}, '34925975': {'Title': 'Management of Steroid-Resistant Nephrotic Syndrome in Children.', 'Authors': 'Sachdeva S, Khan S, Davalos C, Avanthika C, Jhaveri S, Babu A, Patterson D, Yamani AJ', 'Source': 'Cureus', 'PubDate': '2021 Nov', 'DOI': '10.7759/cureus.19363', 'Volume': '13', 'Issue': '11', 'Pages': 'e19363', 'URL': '34925975: https://pubmed.ncbi.nlm.nih.gov/34925975'}, '28977667': {'Title': 'Successful Use of Entecavir in Hepatitis B-associated Membranous Nephropathy.', 'Authors': ""Mahajan V, D'Cruz S, Nada R, Sachdev A"", 'Source': 'J Trop Pediatr', 'PubDate': '2018 Jun 1', 'DOI': '10.1093/tropej/fmx058', 'Volume': '64', 'Issue': '3', 'Pages': '249-252', 'URL': '28977667: https://pubmed.ncbi.nlm.nih.gov/28977667'}, '28690311': {'Title': 'Predictors of Long-Term Mortality and Frequent Re-Hospitalization in Patients with Acute Decompensated Heart Failure and Kidney Dysfunction Treated with Renin-Angiotensin System Blockers.', 'Authors': 'Baydemir C, Ural D, Karaüzüm K, Balci S, Argan O, Karaüzüm I, Kozdağ G, Ağır AA', 'Source': 'Med Sci Monit', 'PubDate': '2017 Jul 10', 'DOI': '10.12659/msm.902786', 'Volume': '23', 'Issue': '', 'Pages': '3335-3344', 'URL': '28690311: https://pubmed.ncbi.nlm.nih.gov/28690311'}, '25884528': {'Title': 'Overview of current and alternative therapies for idiopathic membranous nephropathy.', 'Authors': 'Tran TH, J Hughes G, Greenfeld C, Pham JT', 'Source': 'Pharmacotherapy', 'PubDate': '2015 Apr', 'DOI': '10.1002/phar.1575', 'Volume': '35', 'Issue': '4', 'Pages': '396-411', 'URL': '25884528: https://pubmed.ncbi.nlm.nih.gov/25884528'}, '24824389': {'Title': '[Multicenter survey of diagnostic and therapeutic status in Chinese childhood patients with steroid-sensitive, relaping/steroid-dependent nephrotic syndrome].', 'Authors': 'Working Group For National Survey On Status Of Diagnosis And Treatment Of Childhood Renal Diseases', 'Source': 'Zhonghua Er Ke Za Zhi', 'PubDate': '2014 Mar', 'DOI': 'No DOI available', 'Volume': '52', 'Issue': '3', 'Pages': '194-200', 'URL': '24824389: https://pubmed.ncbi.nlm.nih.gov/24824389'}, '24266319': {'Title': 'Rapidly vanishing lung pseudotumor in a patient with acute bilateral bronchopneumonia.', 'Authors': 'Lazović B, Stajić Z, Putniković B', 'Source': 'Vojnosanit Pregl', 'PubDate': '2013 Sep', 'DOI': '10.2298/vsp1309878l', 'Volume': '70', 'Issue': '9', 'Pages': '878-80', 'URL': '24266319: https://pubmed.ncbi.nlm.nih.gov/24266319'}, '24094140': {'Title': 'Involvement of heparan sulfate in the renoprotective effects of imidapril, an angiotensin-converting enzyme inhibitor, in diabetic db/db mice.', 'Authors': 'Yoneda H, Ueta K, Nagasaki M, Arakawa K', 'Source': 'J Recept Signal Transduct Res', 'PubDate': '2014 Feb', 'DOI': '10.3109/10799893.2013.845788', 'Volume': '34', 'Issue': '1', 'Pages': '21-5', 'URL': '24094140: https://pubmed.ncbi.nlm.nih.gov/24094140'}}"
"[13920, 9, 10108]",[-0.16144773364067078],C2267040,Human Immunodeficiency Virus 1 Fusion Inhibitor [EPC],TREATS,C0588233,Septicemia due to enterococcus,,,
"[14774, 9, 12540]",[-0.19198283553123474],C3883358,Hepatitis C Virus Non-Nucleoside NS5B Palm Polymerase Inhibitor,TREATS,C1301422,Diphtheria due to Corynebacterium diphtheriae,,,
"[5301, 9, 2391]",[-0.2455252707004547],C0054667,carindacillin,TREATS,C0020550,Hyperthyroidism,,,
"[3564, 9, 1144]",[-0.2498563677072525],C0030576,paromomycin,TREATS,C0009492,Compartment syndromes,,,
"[4997, 9, 12567]",[-0.25686272978782654],C0042646,vidarabine,TREATS,C1306632,Primary malignant neoplasm of gastrointestinal tract,['23132594'],['23132594: https://pubmed.ncbi.nlm.nih.gov/23132594'],"{'23132594': {'Title': 'Fludarabine and cytarabine in patients with relapsed acute myeloid leukemia refractory to initial salvage therapy.', 'Authors': 'McLaughlin B, Im A, Raptis A, Agha M, Hou JZ, Redner R, Duggal S, Lin Y, Smith C, Boyiadzis M', 'Source': 'Int J Hematol', 'PubDate': '2012 Dec', 'DOI': '10.1007/s12185-012-1192-9', 'Volume': '96', 'Issue': '6', 'Pages': '743-7', 'URL': '23132594: https://pubmed.ncbi.nlm.nih.gov/23132594'}}"
"[3245, 9, 3553]",[-0.30885159969329834],C0027410,Narcotic Antagonists,TREATS,C0030499,Parasitic Diseases,"['33211271', '30788648', '30725515', '29729492', '28036391', '27495167', '26773164', '26099536', '24119070', '22019408']","['33211271: https://pubmed.ncbi.nlm.nih.gov/33211271', '30788648: https://pubmed.ncbi.nlm.nih.gov/30788648', '30725515: https://pubmed.ncbi.nlm.nih.gov/30725515', '29729492: https://pubmed.ncbi.nlm.nih.gov/29729492', '28036391: https://pubmed.ncbi.nlm.nih.gov/28036391', '27495167: https://pubmed.ncbi.nlm.nih.gov/27495167', '26773164: https://pubmed.ncbi.nlm.nih.gov/26773164', '26099536: https://pubmed.ncbi.nlm.nih.gov/26099536', '24119070: https://pubmed.ncbi.nlm.nih.gov/24119070', '22019408: https://pubmed.ncbi.nlm.nih.gov/22019408']","{'33211271': {'Title': 'Naloxone Diminishes the Virulence and Modifies the Cellular Immune Responses of BALB/c Mice Infected with Leishmania major.', 'Authors': 'Alimohammadian MH, Riazi-Rad F, Asadi-Tat M, Darabi S, Darabi H, Khaze V, Bahrami F, Ajdary S', 'Source': 'Acta Parasitol', 'PubDate': '2021 Jun', 'DOI': '10.1007/s11686-020-00308-w', 'Volume': '66', 'Issue': '2', 'Pages': '517-523', 'URL': '33211271: https://pubmed.ncbi.nlm.nih.gov/33211271'}, '30788648': {'Title': 'A Survey on the Adjuvant Role of Naloxone Alone or Combined with Alum in Vaccination Against Fasciolosis in BALB/c Mice.', 'Authors': 'Azizi H, Mirzaeei H, Bagheri A, Bazi A, Khamesipour A, Yaghoobi H, Mirzapour A, Khatami M, Elikaee S', 'Source': 'Acta Parasitol', 'PubDate': '2019 Jun', 'DOI': '10.2478/s11686-019-00030-2', 'Volume': '64', 'Issue': '2', 'Pages': '236-245', 'URL': '30788648: https://pubmed.ncbi.nlm.nih.gov/30788648'}, '30725515': {'Title': 'Hospitalization of children after prenatal exposure to opioid maintenance therapy during pregnancy: a national registry study from the Czech Republic.', 'Authors': 'Skurtveit S, Nechanská B, Handal M, Mahic M, Mravčík V, Gabrhelík R', 'Source': 'Addiction', 'PubDate': '2019 Jul', 'DOI': '10.1111/add.14576', 'Volume': '114', 'Issue': '7', 'Pages': '1225-1235', 'URL': '30725515: https://pubmed.ncbi.nlm.nih.gov/30725515'}, '29729492': {'Title': 'Naltrexone; as an efficient adjuvant in induction of Th1 immunity and protection against Fasciola hepatica infection.', 'Authors': 'Azizi H, Mirzaeei H, Nasiri AA, Bazi A, Mirzapour A, Khatami M, Nahavandi KH, Azimi A, Yaghoobi H', 'Source': 'Exp Parasitol', 'PubDate': '2018 Jun', 'DOI': '10.1016/j.exppara.2018.04.015', 'Volume': '189', 'Issue': '', 'Pages': '66-71', 'URL': '29729492: https://pubmed.ncbi.nlm.nih.gov/29729492'}, '28036391': {'Title': 'Naloxonazine, an Amastigote-Specific Compound, Affects Leishmania Parasites through Modulation of Host-Encoded Functions.', 'Authors': 'De Muylder G, Vanhollebeke B, Caljon G, Wolfe AR, McKerrow J, Dujardin JC', 'Source': 'PLoS Negl Trop Dis', 'PubDate': '2016 Dec', 'DOI': '10.1371/journal.pntd.0005234', 'Volume': '10', 'Issue': '12', 'Pages': 'e0005234', 'URL': '28036391: https://pubmed.ncbi.nlm.nih.gov/28036391'}, '27495167': {'Title': 'Evaluation of the vaginal flora in pregnant women receiving opioid maintenance therapy: a matched case-control study.', 'Authors': 'Farr A, Kiss H, Hagmann M, Holzer I, Kueronya V, Husslein PW, Petricevic L', 'Source': 'BMC Pregnancy Childbirth', 'PubDate': '2016 Aug 5', 'DOI': '10.1186/s12884-016-1003-z', 'Volume': '16', 'Issue': '1', 'Pages': '206', 'URL': '27495167: https://pubmed.ncbi.nlm.nih.gov/27495167'}, '26773164': {'Title': 'Mixture of Alum--Naloxone and Alum--Naltrexone as a novel adjuvant elicits immune responses for Toxoplasma gondii lysate antigen in BALB /c mice.', 'Authors': 'Khorshidvand Z, Shahabi S, Mohamadzade H, Daryani A, Hazrati Tappeh K', 'Source': 'Exp Parasitol', 'PubDate': '2016 Mar', 'DOI': '10.1016/j.exppara.2016.01.001', 'Volume': '162', 'Issue': '', 'Pages': '28-34', 'URL': '26773164: https://pubmed.ncbi.nlm.nih.gov/26773164'}, '26099536': {'Title': 'Investigation of 7-benzylidenenaltrexone derivatives as a novel structural antitrichomonal lead compound.', 'Authors': 'Kutsumura N, Nakajima R, Koyama Y, Miyata Y, Saitoh T, Yamamoto N, Iwata S, Fujii H, Nagase H', 'Source': 'Bioorg Med Chem Lett', 'PubDate': '2015 Nov 1', 'DOI': '10.1016/j.bmcl.2015.06.002', 'Volume': '25', 'Issue': '21', 'Pages': '4890-4892', 'URL': '26099536: https://pubmed.ncbi.nlm.nih.gov/26099536'}, '24119070': {'Title': 'An anesthetic protocol for adult heartworms removal in two cases of canine caval syndrome.', 'Authors': 'Chiavaccini L, Claude AK, Meyer RE', 'Source': 'Vet Anaesth Analg', 'PubDate': '2014 Jan', 'DOI': '10.1111/vaa.12092', 'Volume': '41', 'Issue': '1', 'Pages': '105-6', 'URL': '24119070: https://pubmed.ncbi.nlm.nih.gov/24119070'}, '22019408': {'Title': 'The opioid antagonist naloxone inhibits Leishmania major infection in BALB/c mice.', 'Authors': 'Karaji AG, Hamzavi Y', 'Source': 'Exp Parasitol', 'PubDate': '2012 Jan', 'DOI': '10.1016/j.exppara.2011.09.006', 'Volume': '130', 'Issue': '1', 'Pages': '73-7', 'URL': '22019408: https://pubmed.ncbi.nlm.nih.gov/22019408'}}"
"[3921, 9, 4264]",[-0.3666873574256897],C0033488,propolis,TREATS,C0036508,Seborrheic dermatitis,['31831216'],['31831216: https://pubmed.ncbi.nlm.nih.gov/31831216'],"{'31831216': {'Title': '[Sebotropic drug eruption after ingestion of bee pollen].', 'Authors': 'Vermersch C, Kerdraon R, Armingaud P, Bois J, Bens G, Finon A', 'Source': 'Ann Dermatol Venereol', 'PubDate': '2020 Feb', 'DOI': '10.1016/j.annder.2019.09.605', 'Volume': '147', 'Issue': '2', 'Pages': '135-139', 'URL': '31831216: https://pubmed.ncbi.nlm.nih.gov/31831216'}}"
"[580, 9, 4149]",[-0.38425883650779724],C0005310,betamethasone acetate,TREATS,C0035235,Respiratory Syncytial Virus Infections,,,
"[5438, 9, 3398]",[-0.4082290828227997],C0058445,dirithromycin,TREATS,C0028887,Oesophagostomiasis,,,
"[4012, 9, 3444]",[-0.4226892292499542],C0034235,pyrantel,TREATS,C0029291,Psittacosis,,,
"[15216, 9, 15029]",[-0.45744165778160095],C4547051,Pemafibrate,TREATS,C4303663,Extensive stage primary small cell carcinoma of lung,,,
"[6517, 9, 3467]",[-0.4579448699951172],C0108411,carbon fiber,TREATS,C0029456,Osteoporosis,"['39303931', '39166701', '32829232', '32017475', '29497852', '16732432', '11938509', '3429470', '7108319']","['39303931: https://pubmed.ncbi.nlm.nih.gov/39303931', '39166701: https://pubmed.ncbi.nlm.nih.gov/39166701', '32829232: https://pubmed.ncbi.nlm.nih.gov/32829232', '32017475: https://pubmed.ncbi.nlm.nih.gov/32017475', '29497852: https://pubmed.ncbi.nlm.nih.gov/29497852', '16732432: https://pubmed.ncbi.nlm.nih.gov/16732432', '11938509: https://pubmed.ncbi.nlm.nih.gov/11938509', '3429470: https://pubmed.ncbi.nlm.nih.gov/3429470', '7108319: https://pubmed.ncbi.nlm.nih.gov/7108319']","{'39303931': {'Title': 'Preventive effects of transcutaneous CO(2) application on disuse osteoporosis and muscle atrophy in a rat hindlimb suspension model.', 'Authors': 'Nishida R, Fukui T, Niikura T, Kumabe Y, Yoshikawa R, Takase K, Yamamoto Y, Kuroda R, Oe K', 'Source': 'Bone', 'PubDate': '2024 Dec', 'DOI': '10.1016/j.bone.2024.117262', 'Volume': '189', 'Issue': '', 'Pages': '117262', 'URL': '39303931: https://pubmed.ncbi.nlm.nih.gov/39303931'}, '39166701': {'Title': 'Intelligent Supramolecular Modification for Implants: Endogenous Regulation of Bone Defect Repair in Osteoporosis.', 'Authors': 'Zhou X, Jiang J, Dang J, Wang Y, Hu R, Shen C, Zhao T, Sun D, Wang G, Zhang M', 'Source': 'Adv Mater', 'PubDate': '2024 Oct', 'DOI': '10.1002/adma.202406227', 'Volume': '36', 'Issue': '40', 'Pages': 'e2406227', 'URL': '39166701: https://pubmed.ncbi.nlm.nih.gov/39166701'}, '32829232': {'Title': 'Biomechanical effects of posterior pedicle screw-based instrumentation using titanium versus carbon fiber reinforced PEEK in an osteoporotic spine human cadaver model.', 'Authors': 'Oikonomidis S, Greven J, Bredow J, Eh M, Prescher A, Fischer H, Thüring J, Eysel P, Hildebrand F, Kobbe P, Scheyerer MJ, Herren C', 'Source': 'Clin Biomech (Bristol)', 'PubDate': '2020 Dec', 'DOI': '10.1016/j.clinbiomech.2020.105153', 'Volume': '80', 'Issue': '', 'Pages': '105153', 'URL': '32829232: https://pubmed.ncbi.nlm.nih.gov/32829232'}, '32017475': {'Title': 'Micromorphological assessment of bone tissue remodeling in various hip degeneration conditions.', 'Authors': 'Kulej M, Dragan SŁ, Kuryszko J, Kuropka P, Widuchowski W, Dragan SF', 'Source': 'Adv Clin Exp Med', 'PubDate': '2020 Jan', 'DOI': '10.17219/acem/112059', 'Volume': '29', 'Issue': '1', 'Pages': '51-61', 'URL': '32017475: https://pubmed.ncbi.nlm.nih.gov/32017475'}, '29497852': {'Title': 'Pedicle screw anchorage of carbon fiber-reinforced PEEK screws under cyclic loading.', 'Authors': 'Lindtner RA, Schmid R, Nydegger T, Konschake M, Schmoelz W', 'Source': 'Eur Spine J', 'PubDate': '2018 Aug', 'DOI': '10.1007/s00586-018-5538-8', 'Volume': '27', 'Issue': '8', 'Pages': '1775-1784', 'URL': '29497852: https://pubmed.ncbi.nlm.nih.gov/29497852'}, '16732432': {'Title': 'Assessment of carbon fibre composite fracture fixation plate using finite element analysis.', 'Authors': 'Saidpour SH', 'Source': 'Ann Biomed Eng', 'PubDate': '2006 Jul', 'DOI': '10.1007/s10439-006-9102-z', 'Volume': '34', 'Issue': '7', 'Pages': '1157-63', 'URL': '16732432: https://pubmed.ncbi.nlm.nih.gov/16732432'}, '11938509': {'Title': 'The use of a carbon fiber plate for periprosthetic supracondylar femoral fractures.', 'Authors': 'Al-Shawi AK, Smith SP, Anderson GH', 'Source': 'J Arthroplasty', 'PubDate': '2002 Apr', 'DOI': '10.1054/arth.2002.30291', 'Volume': '17', 'Issue': '3', 'Pages': '320-4', 'URL': '11938509: https://pubmed.ncbi.nlm.nih.gov/11938509'}, '3429470': {'Title': 'The design and analysis of a laminated partially degradable composite bone plate for fracture fixation.', 'Authors': 'Zimmerman M, Parsons JR, Alexander H', 'Source': 'J Biomed Mater Res', 'PubDate': '1987 Dec', 'DOI': 'No DOI available', 'Volume': '21', 'Issue': 'A3 Suppl', 'Pages': '345-61', 'URL': '3429470: https://pubmed.ncbi.nlm.nih.gov/3429470'}, '7108319': {'Title': '[Experimental studies on ""less rigid"" polyacetal plates for fracture fixation (author\'s transl)].', 'Authors': 'Kusunose K', 'Source': 'Nihon Seikeigeka Gakkai Zasshi', 'PubDate': '1982 May', 'DOI': 'No DOI available', 'Volume': '56', 'Issue': '5', 'Pages': '399-414', 'URL': '7108319: https://pubmed.ncbi.nlm.nih.gov/7108319'}}"
"[4816, 9, 4932]",[-0.6277817487716675],C0040975,tretamine,TREATS,C0042029,Urinary tract infection,,,
"[3746, 9, 9348]",[-0.7256583571434021],C0031962,piperonyl butoxide,TREATS,C0405580,Adrenal cortical hypofunction,,,
